filename,interval_label,start,end,step,stepnumber,f0,jumpkilleffect
003Portugal-asp-bilab-low-nst-Polen-asp-bilab-high-st,Portugal,1.905,2.321,0.02,1,-0.172447777195313,1
003Portugal-asp-bilab-low-nst-Polen-asp-bilab-high-st,Portugal,1.905,2.321,0.04,2,-0.141258334112828,1
003Portugal-asp-bilab-low-nst-Polen-asp-bilab-high-st,Portugal,1.905,2.321,0.059,3,-0.104148065015219,1
003Portugal-asp-bilab-low-nst-Polen-asp-bilab-high-st,Portugal,1.905,2.321,0.079,4,-0.049244686919807,1
003Portugal-asp-bilab-low-nst-Polen-asp-bilab-high-st,Portugal,1.905,2.321,0.099,5,0.00640281972611869,1
003Portugal-asp-bilab-low-nst-Polen-asp-bilab-high-st,Portugal,1.905,2.321,0.119,6,0.000789653707345711,1
003Portugal-asp-bilab-low-nst-Polen-asp-bilab-high-st,Portugal,1.905,2.321,0.139,7,-0.0139774162471709,1
003Portugal-asp-bilab-low-nst-Polen-asp-bilab-high-st,Portugal,1.905,2.321,0.159,8,-0.00734020720958574,1
003Portugal-asp-bilab-low-nst-Polen-asp-bilab-high-st,Portugal,1.905,2.321,0.178,9,-0.000790086158045239,1
003Portugal-asp-bilab-low-nst-Polen-asp-bilab-high-st,Portugal,1.905,2.321,0.198,10,0.00567750434645581,1
003Portugal-asp-bilab-low-nst-Polen-asp-bilab-high-st,Portugal,1.905,2.321,0.218,11,0.0120669300442694,1
003Portugal-asp-bilab-low-nst-Polen-asp-bilab-high-st,Portugal,1.905,2.321,0.238,12,0.0183748427163735,1
003Portugal-asp-bilab-low-nst-Polen-asp-bilab-high-st,Portugal,1.905,2.321,0.258,13,0.0246055283145696,1
003Portugal-asp-bilab-low-nst-Polen-asp-bilab-high-st,Portugal,1.905,2.321,0.277,14,0.0229984089519508,1
003Portugal-asp-bilab-low-nst-Polen-asp-bilab-high-st,Portugal,1.905,2.321,0.297,15,0.00198099618118518,1
003Portugal-asp-bilab-low-nst-Polen-asp-bilab-high-st,Portugal,1.905,2.321,0.317,16,0.00857517510519861,1
003Portugal-asp-bilab-low-nst-Polen-asp-bilab-high-st,Portugal,1.905,2.321,0.337,17,0.00797081756542922,1
003Portugal-asp-bilab-low-nst-Polen-asp-bilab-high-st,Portugal,1.905,2.321,0.357,18,-0.00356310583783702,1
003Portugal-asp-bilab-low-nst-Polen-asp-bilab-high-st,Portugal,1.905,2.321,0.376,19,-0.0291820206352085,1
003Portugal-asp-bilab-low-nst-Polen-asp-bilab-high-st,Portugal,1.905,2.321,0.396,20,-0.0750347846323776,1
003bagud-unasp-bilab-low-st-NA-NA-NA-NA-NA,bagud,1.757,2.046,0.014,1,-0.109025684346501,1
003bagud-unasp-bilab-low-st-NA-NA-NA-NA-NA,bagud,1.757,2.046,0.028,2,-0.140688154781446,1
003bagud-unasp-bilab-low-st-NA-NA-NA-NA-NA,bagud,1.757,2.046,0.041,3,-0.121119582861926,1
003bagud-unasp-bilab-low-st-NA-NA-NA-NA-NA,bagud,1.757,2.046,0.055,4,-0.0875526287419469,1
003bagud-unasp-bilab-low-st-NA-NA-NA-NA-NA,bagud,1.757,2.046,0.069,5,-0.0513376413606474,1
003bagud-unasp-bilab-low-st-NA-NA-NA-NA-NA,bagud,1.757,2.046,0.083,6,-0.0153451112449132,1
003bagud-unasp-bilab-low-st-NA-NA-NA-NA-NA,bagud,1.757,2.046,0.097,7,0.0266339488196532,1
003bagud-unasp-bilab-low-st-NA-NA-NA-NA-NA,bagud,1.757,2.046,0.11,8,0.0430537765188697,1
003bagud-unasp-bilab-low-st-NA-NA-NA-NA-NA,bagud,1.757,2.046,0.124,9,0.044625920382491,1
003bagud-unasp-bilab-low-st-NA-NA-NA-NA-NA,bagud,1.757,2.046,0.138,10,0.0461024198334119,1
003bagud-unasp-bilab-low-st-NA-NA-NA-NA-NA,bagud,1.757,2.046,0.152,11,0.0465979653369438,1
003bagud-unasp-bilab-low-st-NA-NA-NA-NA-NA,bagud,1.757,2.046,0.166,12,0.0481541294491363,1
003bagud-unasp-bilab-low-st-NA-NA-NA-NA-NA,bagud,1.757,2.046,0.179,13,0.0516017151400177,1
003bagud-unasp-bilab-low-st-NA-NA-NA-NA-NA,bagud,1.757,2.046,0.193,14,0.0480326029286251,1
003bagud-unasp-bilab-low-st-NA-NA-NA-NA-NA,bagud,1.757,2.046,0.207,15,0.0356528419426429,1
003bagud-unasp-bilab-low-st-NA-NA-NA-NA-NA,bagud,1.757,2.046,0.221,16,0.0151836104712321,1
003bagud-unasp-bilab-low-st-NA-NA-NA-NA-NA,bagud,1.757,2.046,0.234,17,-0.0200549610804761,1
003bagud-unasp-bilab-low-st-NA-NA-NA-NA-NA,bagud,1.757,2.046,0.248,18,-0.0758184287219007,1
003bagud-unasp-bilab-low-st-NA-NA-NA-NA-NA,bagud,1.757,2.046,0.262,19,-0.0733734391420559,1
003bagud-unasp-bilab-low-st-NA-NA-NA-NA-NA,bagud,1.757,2.046,0.276,20,-0.0733734391420559,1
003bide-unasp-bilab-high-nst-NA-NA-NA-NA-NA,bide,2.368,2.647,0.013,1,-0.0876625815023398,1
003bide-unasp-bilab-high-nst-NA-NA-NA-NA-NA,bide,2.368,2.647,0.027,2,-0.124054511163665,1
003bide-unasp-bilab-high-nst-NA-NA-NA-NA-NA,bide,2.368,2.647,0.04,3,-0.138168374468997,1
003bide-unasp-bilab-high-nst-NA-NA-NA-NA-NA,bide,2.368,2.647,0.053,4,-0.13778753511388,1
003bide-unasp-bilab-high-nst-NA-NA-NA-NA-NA,bide,2.368,2.647,0.067,5,-0.120469593098925,1
003bide-unasp-bilab-high-nst-NA-NA-NA-NA-NA,bide,2.368,2.647,0.08,6,-0.103938326646556,1
003bide-unasp-bilab-high-nst-NA-NA-NA-NA-NA,bide,2.368,2.647,0.093,7,-0.0839877989021884,1
003bide-unasp-bilab-high-nst-NA-NA-NA-NA-NA,bide,2.368,2.647,0.107,8,-0.0603134606860503,1
003bide-unasp-bilab-high-nst-NA-NA-NA-NA-NA,bide,2.368,2.647,0.12,9,-0.0383086456973529,1
003bide-unasp-bilab-high-nst-NA-NA-NA-NA-NA,bide,2.368,2.647,0.133,10,-0.0114874994994229,1
003bide-unasp-bilab-high-nst-NA-NA-NA-NA-NA,bide,2.368,2.647,0.146,11,0.0113967520675587,1
003bide-unasp-bilab-high-nst-NA-NA-NA-NA-NA,bide,2.368,2.647,0.16,12,0.0350666674819986,1
003bide-unasp-bilab-high-nst-NA-NA-NA-NA-NA,bide,2.368,2.647,0.173,13,0.0629299754744063,1
003bide-unasp-bilab-high-nst-NA-NA-NA-NA-NA,bide,2.368,2.647,0.186,14,0.0841631702671686,1
003bide-unasp-bilab-high-nst-NA-NA-NA-NA-NA,bide,2.368,2.647,0.2,15,0.103392608298593,1
003bide-unasp-bilab-high-nst-NA-NA-NA-NA-NA,bide,2.368,2.647,0.213,16,0.116111548839032,1
003bide-unasp-bilab-high-nst-NA-NA-NA-NA-NA,bide,2.368,2.647,0.226,17,0.114731319778456,1
003bide-unasp-bilab-high-nst-NA-NA-NA-NA-NA,bide,2.368,2.647,0.24,18,0.0875917361993231,1
003bide-unasp-bilab-high-nst-NA-NA-NA-NA-NA,bide,2.368,2.647,0.253,19,0.0534794876292794,1
003bide-unasp-bilab-high-nst-NA-NA-NA-NA-NA,bide,2.368,2.647,0.266,20,0.0402165679652366,1
003bier-unasp-bilab-high-st-NA-NA-NA-NA-NA,bier,2.021,2.311,0.014,1,0.0259583919291578,1
003bier-unasp-bilab-high-st-NA-NA-NA-NA-NA,bier,2.021,2.311,0.028,2,0.0173743415158945,1
003bier-unasp-bilab-high-st-NA-NA-NA-NA-NA,bier,2.021,2.311,0.041,3,0.00723226996878884,1
003bier-unasp-bilab-high-st-NA-NA-NA-NA-NA,bier,2.021,2.311,0.055,4,-0.0142501694907571,1
003bier-unasp-bilab-high-st-NA-NA-NA-NA-NA,bier,2.021,2.311,0.069,5,-0.0470612410431714,1
003bier-unasp-bilab-high-st-NA-NA-NA-NA-NA,bier,2.021,2.311,0.083,6,-0.0767842735160052,1
003bier-unasp-bilab-high-st-NA-NA-NA-NA-NA,bier,2.021,2.311,0.096,7,-0.101838067069461,1
003bier-unasp-bilab-high-st-NA-NA-NA-NA-NA,bier,2.021,2.311,0.11,8,-0.105635788482768,1
003bier-unasp-bilab-high-st-NA-NA-NA-NA-NA,bier,2.021,2.311,0.124,9,-0.0769962221362377,1
003bier-unasp-bilab-high-st-NA-NA-NA-NA-NA,bier,2.021,2.311,0.138,10,-0.0315464520592016,1
003bier-unasp-bilab-high-st-NA-NA-NA-NA-NA,bier,2.021,2.311,0.151,11,0.00394247302855304,1
003bier-unasp-bilab-high-st-NA-NA-NA-NA-NA,bier,2.021,2.311,0.165,12,0.0224754115830118,1
003bier-unasp-bilab-high-st-NA-NA-NA-NA-NA,bier,2.021,2.311,0.179,13,0.0247692098601795,1
003bier-unasp-bilab-high-st-NA-NA-NA-NA-NA,bier,2.021,2.311,0.193,14,0.0197196608927624,1
003bier-unasp-bilab-high-st-NA-NA-NA-NA-NA,bier,2.021,2.311,0.207,15,0.01171469191253,1
003bier-unasp-bilab-high-st-NA-NA-NA-NA-NA,bier,2.021,2.311,0.22,16,0.00780763948956259,1
003bier-unasp-bilab-high-st-NA-NA-NA-NA-NA,bier,2.021,2.311,0.234,17,0.000135046187879455,1
003bier-unasp-bilab-high-st-NA-NA-NA-NA-NA,bier,2.021,2.311,0.248,18,-0.000135058830315617,1
